2.076071548077293993e+00,1.359215819068045228e+00,1.612288374448833217e+00,1.362489657468518356e+00,2.071918477375484180e+00,1.969357605108491560e+00,8.440492501434107009e-01,3.797031039740686786e+00,4.072208651961098269e+00,2.408568839360572533e-01,2.304346538437185998e+01,2.592988321213655567e+01,2.408532461793230883e+00,5.171693173011325584e+00,3.614614423042518787e+00
3.131779456764398173e+00,2.531193703817975926e+00,1.848377082612853384e+00,2.531738451250366673e+00,3.127321336649786510e+00,2.641859025799857097e+00,6.888759706894541424e+00,1.443082337790105463e+01,1.374253140137243356e+01,1.318903259843751030e+01,3.133307428240531767e+00,1.991586259709176909e+00,1.233948382906373809e+01,1.353679113613084617e+01,1.498559907332445995e+01
1.485881558743345465e+01,8.468963380155377862e+00,3.186069507200610662e+00,8.461162117224857226e+00,1.483837030339876506e+01,1.382608845569863298e+01,1.151846030255355302e+01,3.098131425323824573e+00,1.087032216244139038e+00,4.947252600540151590e+00,1.040201741246203238e+00,9.472000620726407361e-01,4.909148162970753404e+00,1.518207560426948266e+00,2.478905572378060640e+00
5.637631759624762928e+00,1.300467859226068157e+01,2.934142981451845245e+01,1.301065484858833976e+01,5.646995733674009088e+00,3.766912087640907902e-01,4.096674678269492276e+00,1.416228234955266396e+00,4.717999751246869100e-01,3.101307151301333498e+00,3.745904980632266401e-01,6.250257261956269073e-01,3.082745892120822173e+00,3.593964253720738911e-01,1.067598848888901886e+00
1.313317607743599424e+01,7.569604384176901846e+00,2.132641428995820654e+00,7.570432937090859404e+00,1.314981780096691111e+01,1.538335795921196159e+01,1.211607115107097954e+01,5.933608109950301746e+00,5.883146148795647123e-01,2.872484685456120790e+00,1.477316193075969064e+00,4.795553160405054971e-01,2.336267288888394855e+00,4.477231957124066519e-01,6.832882231381862681e-01
4.722034508625465143e+00,4.088659321249507705e+00,1.043057063592133016e+00,4.087497233442505262e+00,4.726478373799543498e+00,1.239955439085540734e+00,6.402344836960833341e+00,1.275335856953355318e+01,1.514786778525516020e+01,1.210490245977117496e+01,5.878476449747364718e+00,5.026564837988274359e-01,2.713992088811094661e+00,1.607206346829708199e+00,5.084315297493035013e-01
3.121341786671569363e+00,2.936623401348444684e+00,6.764910311308094393e-01,2.935387913627010459e+00,3.123924069439171891e+00,7.035156500242014666e-01,3.436478304495429015e+00,4.256821248918172707e+00,8.545494652857600348e-01,6.442064680408805089e+00,1.279895847262161013e+01,1.507767881593010806e+01,1.193163767146977250e+01,5.671521789838442018e+00,4.182908074183697700e-01
2.398996851426962618e+00,2.335512029711531046e+00,4.976878032231961124e-01,2.334370961886428564e+00,2.400854109614427578e+00,4.994198669891889431e-01,2.546167474872756742e+00,2.789845561509335159e+00,5.081519318780112204e-01,3.289933252016846055e+00,4.009587883512997664e+00,5.480702960613437202e-01,6.691377313377701697e+00,1.294206434863160382e+01,1.503364724402326580e+01
1.976995649148862944e+00,1.959829284810258754e+00,3.937284877122279592e-01,1.958793959240284321e+00,1.978468276118073854e+00,3.904917218483029417e-01,2.080597599860184665e+00,2.148803266760358266e+00,3.803484338450648372e-01,2.415023254786992979e+00,2.587303754726749894e+00,3.612132200504615254e-01,3.277818211964943718e+00,3.825230737439371698e+00,3.251291309134846097e-01
1.696836200882614110e+00,1.700633947614283548e+00,3.265879799102389125e-01,1.699692107925097728e+00,1.698069632464773715e+00,3.227390806885862551e-01,1.783327545919159762e+00,1.779125295960477526e+00,3.110729118252043568e-01,1.976246639955624218e+00,1.981789871108257106e+00,2.917770691613047473e-01,2.372454224501912012e+00,2.431946414038214765e+00,2.719682990081338514e-01
1.496109587935684937e+00,1.510314293573110866e+00,2.800569498837393589e-01,1.509451411439326263e+00,1.497179340928684876e+00,2.766344744377585152e-01,1.573456584334496977e+00,1.534929005799660739e+00,2.666556270402433704e-01,1.701752270798625677e+00,1.638358232256162950e+00,2.518545111377363810e-01,1.932213824779821065e+00,1.850262440120713281e+00,2.413767232158633702e-01
1.344876667458203112e+00,1.364494863846224870e+00,2.461349385832492243e-01,1.363698150359967887e+00,1.345827150922657145e+00,2.433295284530406777e-01,1.416164998237499306e+00,1.360226792771902282e+00,2.354028633388496883e-01,1.509725772769767493e+00,1.414037966228067766e+00,2.245597223257024544e-01,1.662626991539464916e+00,1.524773495130053780e+00,2.188508300953758978e-01
1.226835789727197978e+00,1.249298514842048347e+00,2.204513297280161765e-01,1.248557406457979857e+00,1.227695474542000342e+00,2.182245655430592457e-01,1.293553127147223591e+00,1.228589358716223323e+00,2.120941535542773815e-01,1.366304412164955906e+00,1.254817238042694960e+00,2.042305028137179623e-01,1.476720461919992511e+00,1.314361529669224593e+00,2.011403847804688338e-01
1.132288566385438289e+00,1.156197330481543828e+00,2.004321239792748732e-01,1.155503219322424391e+00,1.133076898972163349e+00,1.986927461216592417e-01,1.195302703229027541e+00,1.125771845494867529e+00,1.940116408478196608e-01,1.254581691733907878e+00,1.135535222663879962e+00,1.883316016145007710e-01,1.339205687361741948e+00,1.166239115107324142e+00,1.867764255466146384e-01
1.055074571871196465e+00,1.079639785853689027e+00,1.844705346531477497e-01,1.078985641195887801e+00,1.055805494218163387e+00,1.831264444041059980e-01,1.114973103944452593e+00,1.043353435288171704e+00,1.795852823211623317e-01,1.165009895624534719e+00,1.042782090423349795e+00,1.755090514883588804e-01,1.232800025912045294e+00,1.056022830321831307e+00,1.749006507592972826e-01
9.910789207592166639e-01,1.015846078108469497e+00,1.715157561666701691e-01,1.015226110427314365e+00,9.917628194479521930e-01,1.704878835639485612e-01,1.048303029235668982e+00,9.760062082960917484e-01,1.678375821223752895e-01,1.091711263819984401e+00,9.687054014542528790e-01,1.649513866065609458e-01,1.147910013500872628e+00,9.708166349313546162e-01,1.649504703836900399e-01
9.374419063145388309e-01,9.621490133397917477e-01,1.608539367314208435e-01,9.615584057715728106e-01,9.380867651618485237e-01,1.600780853945560356e-01,9.923454896721101148e-01,9.201797425208831926e-01,1.581247469650496895e-01,1.030831762397018680e+00,9.083764511232407246e-01,1.561322714269486600e-01,1.078716008402929916e+00,9.031223264634471448e-01,1.565332526533671498e-01
8.921118364651555721e-01,9.166112299948814268e-01,1.519845835411649249e-01,9.160459304525773172e-01,8.927239553925515603e-01,1.514097288804790997e-01,9.449907807737364385e-01,8.734100429845041980e-01,1.500038975423158283e-01,9.797211337138543863e-01,8.585331348859424061e-01,1.486905461752791591e-01,1.021448614020357137e+00,8.482644333488867927e-01,1.493638141851444945e-01
8.535781755048428288e-01,8.777918291619294378e-01,1.445474085739949510e-01,8.772483905666487169e-01,8.541626389806532549e-01,1.441332625730362138e-01,9.046865586552518268e-01,8.339308524240741649e-01,1.431597093251427144e-01,9.364887113784606809e-01,8.169248647034822453e-01,1.423679342618298094e-01,9.735419694282866354e-01,8.031674610089145627e-01,1.432291047474213985e-01
8.207051384652537251e-01,8.445982401798346473e-01,1.382772543659199493e-01,8.440736972955227291e-01,8.212661322525121044e-01,1.379919896063430962e-01,8.702651953943241203e-01,8.004426998932956394e-01,1.373614233487362724e-01,8.997463658838940059e-01,7.819468488013625596e-01,1.369739126123259987e-01,9.331811141594459347e-01,7.657219549675545744e-01,1.379665864700624078e-01
7.926240510360410552e-01,8.161889532430405270e-01,1.329753536842443740e-01,8.156807269813690642e-01,7.931650832836527609e-01,1.327937150945716072e-01,8.408328868916160603e-01,7.719693557251001703e-01,1.324364170138557228e-01,8.684516488849438609e-01,7.524242528314453171e-01,1.323645884698007869e-01,8.990432620120296647e-01,7.344323416320303055e-01,1.334502560006843030e-01
7.686615409379511377e-01,7.919077990607921169e-01,1.284904568930091140e-01,7.914136213610102333e-01,7.691856008715584059e-01,1.283922667874190238e-01,8.156959958584528714e-01,7.477652144693825997e-01,1.282533004776689745e-01,8.418078612265140759e-01,7.274788781794560011e-01,1.284293392466804573e-01,8.701417011070295970e-01,7.082101100659716764e-01,1.295812445244895195e-01
7.482903714309669940e-01,7.712384580460831529e-01,1.247061213799753321e-01,7.707563122092998542e-01,7.488000461534698449e-01,1.246751182487757792e-01,7.943107463277111480e-01,7.272536418019163174e-01,1.247107443297776064e-01,8.191980948124284456e-01,7.064436405767592353e-01,1.250820151853914985e-01,8.457273637383077025e-01,6.862466894856905641e-01,1.262813049145902200e-01
7.310950387871177902e-01,7.537723305202806978e-01,1.215319641805615164e-01,7.533004032053423060e-01,7.315926012722306915e-01,1.215549058953478423e-01,7.762480686401411756e-01,7.099848529381932449e-01,1.217298913297208129e-01,8.001404186190774759e-01,6.888059635681789139e-01,1.222549575506581415e-01,8.252244761818362528e-01,6.679323188362086272e-01,1.234881939573775067e-01
7.167472722615219061e-01,7.391854705035570960e-01,1.188975328489805666e-01,7.387221125602690952e-01,7.172347491421628973e-01,1.189635027536325301e-01,7.611685742747210659e-01,6.956065183375580441e-01,1.192490867044233155e-01,7.842567117975927093e-01,6.741693343931237647e-01,1.198948273059115555e-01,8.081872368496918480e-01,6.528026444267509554e-01,1.211523399356270875e-01
7.049883518921997716e-01,7.272218232159134432e-01,1.167479499840529400e-01,7.267655172332406766e-01,7.054675768587570506e-01,1.168478160550717460e-01,7.488044926288772718e-01,6.838429118738578172e-01,1.172201550109152057e-01,7.712505963819007437e-01,6.622266592122902917e-01,1.179596406652433233e-01,7.942699725414013034e-01,6.405026890017815333e-01,1.192344072247486370e-01
6.956162405905830237e-01,7.176809547297904324e-01,1.150407889896515740e-01,7.172302876832397089e-01,6.960888974364428661e-01,1.151667772158076614e-01,7.389465200566600611e-01,6.744799556185329115e-01,1.156057388059788943e-01,7.608916240988633506e-01,6.527415275663195349e-01,1.164166359531228351e-01,7.832062388115088591e-01,6.307620912410382141e-01,1.177035036350312647e-01
6.884762049058567035e-01,7.104090641556137786e-01,1.137438263456694576e-01,7.099627039032534448e-01,6.889438631001593150e-01,1.138891784097934567e-01,7.314342284794637106e-01,6.673544508120521357e-01,1.143773875502793885e-01,7.530038917824904976e-01,6.455349437227849707e-01,1.152407314565529611e-01,7.747940574504702527e-01,6.233779069121487826e-01,1.165358605762517458e-01
6.834540365275815210e-01,7.052924617199196611e-01,1.128334354987788751e-01,7.048491363592741532e-01,6.839181814308838980e-01,1.129921276721518320e-01,7.261491289743657873e-01,6.623463718154971591e-01,1.135141931255073122e-01,7.474578932101516582e-01,6.404759609661481168e-01,1.144134174105867069e-01,7.688855129544641676e-01,6.182026620789097260e-01,1.157138710179927699e-01
6.804712779508259590e-01,7.022529604139090553e-01,1.122934662530650496e-01,7.018114396986178116e-01,6.809333372817206742e-01,1.124599714091507052e-01,7.230097831560611255e-01,6.593734808146057835e-01,1.130018379434493264e-01,7.441648226107419051e-01,6.374752071435297873e-01,1.139219787859626631e-01,7.653795671283283308e-01,6.151361992814579072e-01,1.152254071806066149e-01
