Time,S(t)
0.0,0.942
0.1724137931034483,0.106
0.3448275862068966,-0.002
0.5172413783103449,-0.038
0.6896551724137931,0.114
0.8620689655172414,0.762
1.0344827586206897,0.036
1.206896551724138,0.000
1.3793103448275863,-0.218
1.5517241379310347,0.018
1.7241379310344829,0.384
1.896551724137931,0.004
2.0689655172413794,-0.012
2.241379310344828,-0.582
2.413793103448276,0.116
2.586206896551724,-0.004
2.7586206896551726,0.042
2.9310344827586206,0.008
3.103448275862069,-0.604
3.2758620689655173,-0.122
3.4482758620689653,-0.016
3.6206896551724137,0.198
3.793103448275862,-0.024
3.9655172413793105,-0.006
4.137931034482759,0.228
4.310344827586207,0.046
4.482758620689655,0.000
4.655172413793103,-0.288
4.827586206896552,0.012
5.0,0.002